grid_lat,grid_lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nr_scell1_cid,nr_scell1_freq,nr_scell2_cid,nr_scell2_freq,nr_scell3_cid,nr_scell3_freq,thput_sample_num,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100,thput_avg,thput_std
-86.9145,40.447,30,850,66,175450,429,66936,262,66486,None,None,None,None,None,None,None,None,18,0.36783999999999994,0.652672,1.478,2.34304,3.44244,7.88512,10.519039999999999,3.1944844444444445,2.8029844636153682
-86.9145,40.447,483,66486,66,174770,208,850,7,66936,None,None,None,None,None,None,None,None,1,10.568,10.568,10.568,10.568,10.568,10.568,10.568,10.568,0.0
-86.9145,40.447,483,950,66,174770,None,None,None,None,None,None,None,None,None,None,None,None,11,5.056,5.056,5.056,5.056,5.056,5.056,10.568,5.557090909090908,1.5845885875316459
-86.9145,40.447,439,5330,None,None,208,850,483,66486,7,66936,None,None,None,None,None,None,29,1.9665599999999999,7.235264,9.71712,16.159039999999997,23.928319999999996,27.577119999999997,41.17072,17.351630344827587,9.092777197357776
-86.9145,40.4465,483,950,None,None,None,None,None,None,None,None,None,None,None,None,None,None,92,1.616,1.6384,2.024,4.7736,13.10972,16.204656,23.41184,7.462485217391304,5.907898197866597
-86.9145,40.4465,409,5330,None,None,28,850,483,66486,85,66936,None,None,None,None,None,None,67,1.0737599999999998,4.905568,8.877759999999999,16.416,17.768,19.072,27.951679999999996,13.841308656716418,5.887785228265023
-86.9145,40.4465,31,5145,None,None,None,None,None,None,None,None,None,None,None,None,None,None,189,0.496,4.032,4.792,7.304,9.536,11.64761600000001,20.476960000000002,7.606510899470897,3.594489494841612
-86.9145,40.4465,30,850,66,175450,429,66936,262,66486,None,None,None,None,None,None,None,None,44,0.11567999999999999,1.0389279999999999,2.1907599999999996,3.5920799999999997,5.66064,6.63528,7.68528,3.766678181818183,2.1339835745121385
-86.9145,40.4465,483,950,66,174770,None,None,None,None,None,None,None,None,None,None,None,None,41,1.608,1.608,2.96,5.384,5.384,7.2,7.2,4.3147317073170735,2.138162865689646
-86.9145,40.4465,439,5330,None,None,208,850,483,66486,7,66936,None,None,None,None,None,None,28,11.68704,12.992576,14.13284,18.818559999999998,22.989399999999996,27.374784,31.064799999999998,19.456662857142856,5.542245250184426
-86.914,40.4465,483,950,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,4.176,4.176,4.176,4.176,4.176,4.176,4.176,4.176,0.0
-86.914,40.4465,409,5330,None,None,28,850,483,66486,85,66936,None,None,None,None,None,None,22,2.0263999999999998,8.254831999999999,12.4894,18.88,19.024,19.024,19.024,15.051861818181816,4.991725635419658
-86.914,40.4465,31,5145,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8,0.22976,3.148592,4.73588,6.041919999999999,7.97216,8.269232,8.59952,5.776079999999999,2.5500317174498046
-86.914,40.4465,483,950,66,174770,None,None,None,None,None,None,None,None,None,None,None,None,13,1.608,1.608,1.608,1.608,1.608,2.208,2.208,1.7464615384615385,0.2527950265408459
-86.914,40.4465,439,5330,None,None,208,850,483,66486,7,66936,None,None,None,None,None,None,15,2.7913599999999996,5.47568,7.929679999999999,11.608639999999998,15.669439999999998,19.503648,20.0752,11.712960000000002,5.301703596995969
-86.914,40.446,483,950,None,None,None,None,None,None,None,None,None,None,None,None,None,None,78,1.232,1.232,4.176,6.976,10.363239999999998,13.462431999999996,18.778879999999997,7.43568205128205,4.409482422271801
-86.914,40.446,409,5330,None,None,28,850,483,66486,85,66936,None,None,None,None,None,None,85,1.3159999999999998,2.562368,6.27008,12.856,16.296,17.90400000000002,19.66896,11.348171294117646,5.744130261582492
-86.914,40.446,31,5145,None,None,None,None,None,None,None,None,None,None,None,None,None,None,173,0.47072,3.56,5.544,6.528,7.464,9.872,10.99104,6.471719768786128,2.148666578474187
-86.914,40.446,30,850,66,175450,429,66936,262,66486,None,None,None,None,None,None,None,None,36,0.12176,1.05744,2.2065599999999996,3.8739999999999997,5.24508,6.71848,7.359039999999999,3.84806,2.095697735319247
-86.914,40.446,483,950,66,174770,None,None,None,None,None,None,None,None,None,None,None,None,43,2.064,2.064,2.208,2.328,2.536,2.992,2.992,2.4561860465116276,0.31355124619644975
-86.914,40.446,483,66486,66,174770,439,5330,46,9820,7,66936,None,None,None,None,None,None,1,2.992,2.992,2.992,2.992,2.992,2.992,2.992,2.992,0.0
-86.914,40.446,483,950,545,174770,None,None,None,None,None,None,None,None,None,None,None,None,18,1.184,1.184,1.184,1.184,2.064,5.408,5.408,2.083555555555556,1.5285891178986017
-86.914,40.446,439,5330,None,None,208,850,483,66486,7,66936,None,None,None,None,None,None,44,2.3516799999999995,5.648848,6.41672,8.15688,11.112479999999998,14.183184000000004,18.39632,9.05270909090909,3.5757094436195573
-86.914,40.4455,483,950,None,None,None,None,None,None,None,None,None,None,None,None,None,None,426,0.0,3.8632,6.155799999999999,12.05904,18.6764,25.444879999999998,40.67552,13.174866478873238,8.31563792383892
-86.914,40.4455,409,5330,None,None,28,850,483,66486,85,66936,None,None,None,None,None,None,47,4.61632,8.019487999999999,11.277519999999999,14.616,16.76048,19.969375999999997,26.750239999999998,14.204034042553188,4.641072403518925
-86.914,40.4455,483,950,66,174770,None,None,None,None,None,None,None,None,None,None,None,None,207,0.11567999999999999,0.8029120000000001,2.272,4.632,7.14712,10.094464,17.7424,4.995578743961353,3.5370689701588036
-86.914,40.4455,31,5145,None,None,208,850,483,66486,7,66936,None,None,None,None,None,None,35,0.46176,5.1532160000000005,6.682079999999999,10.08464,13.319599999999998,16.30384,22.494239999999998,10.207787428571427,5.110537739549719
-86.914,40.4455,7,1400,None,None,None,None,None,None,None,None,None,None,None,None,None,None,212,0.9417599999999999,7.256,14.696,17.696,21.328,23.248,24.896,17.299584150943392,5.698508557411178
-86.914,40.4455,7,1400,545,174770,None,None,None,None,None,None,None,None,None,None,None,None,64,3.64,3.64,4.552,4.928,6.952,7.656,7.656,5.4167499999999995,1.3449168886961007
-86.914,40.4455,85,1400,545,175450,None,None,None,None,None,None,None,None,None,None,None,None,79,0.23359999999999997,2.94832,5.28,8.39696,10.21668,11.792416,15.136959999999998,7.778771645569622,3.5209950514406354
-86.914,40.4455,85,1400,66,175450,28,850,483,66486,None,None,None,None,None,None,None,None,44,0.11567999999999999,2.2224,4.449879999999999,6.4013599999999995,8.122679999999999,9.215872000000001,12.559679999999998,6.104810909090909,2.854003495167174
