grid_lat,grid_lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nr_scell1_cid,nr_scell1_freq,nr_scell2_cid,nr_scell2_freq,nr_scell3_cid,nr_scell3_freq,thput_sample_num,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100,thput_avg,thput_std
-86.907,40.4685,328,1300,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19,5.294079999999999,12.768,55.368159999999996,64.66463999999999,91.15232,99.78252799999999,123.53151999999999,66.69002105263158,32.54168462548433
-86.907,40.4685,329,1550,329,177150,None,None,None,None,None,None,None,None,None,None,None,None,21,46.928,46.928,46.928,55.32,55.32,55.32,55.32,51.32380952380951,4.191239930401864
-86.907,40.4685,329,1550,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27,14.177919999999999,100.60473599999999,118.45648,140.27743999999998,175.93792000000002,196.74265599999998,206.23296,144.61656888888888,42.54837629949766
-86.907,40.4685,329,1075,None,None,328,55344,328,55542,328,55740,None,None,None,None,None,None,21,59.23872,66.39872,73.00735999999999,88.84992,95.10304,109.86207999999999,111.95168,85.90259809523808,15.085886129507058
-86.907,40.4685,329,1075,328,648672,328,67086,None,None,None,None,None,None,None,None,None,None,21,30.152,30.152,30.152,32.832,32.832,32.832,44.592,32.80342857142858,4.030949652630358
-86.907,40.4685,329,1075,328,648672,328,66586,None,None,None,None,None,None,None,None,None,None,125,0.19584,26.608383999999997,34.21376,246.59424,313.696,329.380608,405.8336,193.8377664,130.70397519245756
-86.907,40.4685,329,1075,None,None,328,56244,328,56442,328,56640,None,None,None,None,None,None,48,9.55936,13.838591999999998,16.961999999999996,17.88912,20.824,20.824,22.17504,17.771853333333333,2.874598369225788
-86.907,40.4685,328,5230,None,None,328,66836,329,67086,329,1075,None,None,None,None,None,None,47,111.94592,136.352,136.352,154.08032,175.4688,185.46432,205.63648,157.06310127659575,22.395532841435195
-86.907,40.4685,329,1550,328,648672,None,None,None,None,None,None,None,None,None,None,None,None,21,93.96,93.96,93.96,107.52,107.52,112.336,112.336,101.75085714285714,7.588758517487214
-86.907,40.4685,328,1050,329,177150,None,None,None,None,None,None,None,None,None,None,None,None,16,60.28,60.28,60.28,78.36,78.36,78.36,78.36,72.71,8.380304290418099
-86.907,40.4685,328,1050,328,648672,None,None,None,None,None,None,None,None,None,None,None,None,7,60.232,60.232,60.256,60.28,60.28,60.28,60.28,60.2662857142857,0.02168418966972685
-86.907,40.4685,329,1075,192,648672,328,67086,None,None,None,None,None,None,None,None,None,None,2,92.728,92.728,92.728,92.728,92.728,92.728,92.728,92.728,0.0
