grid_lat,grid_lon,thput_sample_num,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100,thput_avg,thput_std
-86.916,40.4485,27,2.008,2.008,2.008,2.552,3.648,3.648,3.648,2.6954074074074073,0.6587833488225633
-86.916,40.449,1,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,0.0
-86.916,40.448,75,3.648,3.752,3.84,6.408,9.232,10.64,10.64,6.5239466666666655,2.4135604012514142
-86.9155,40.448,603,0.024,0.8400000000000002,4.36,8.016,14.707999999999998,19.262112000000005,34.83504,9.623290480928691,7.083181326073341
-86.9155,40.4475,466,0.23135999999999998,2.56,4.36,9.184,13.451159999999998,20.599359999999997,33.38832,10.165909527896995,6.923536166433373
-86.915,40.4475,177,0.36527999999999994,3.152,4.36,16.823439999999998,25.328,27.428064000000003,38.894239999999996,15.684388700564973,10.454257858165102
-86.915,40.447,372,0.12208,2.865744,4.51476,7.056,15.059999999999999,21.95912,43.27119999999999,10.461963440860215,7.954707380672515
-86.9145,40.447,219,0.36783999999999994,2.48,4.795999999999999,10.4784,19.50144,25.456,41.64288,12.254222831050228,8.957582761424181
-86.9145,40.4465,461,0.11567999999999999,1.9950399999999997,4.176,7.2,11.2576,17.768,31.064799999999998,8.544406247288503,5.973432641691619
-86.914,40.4465,60,0.22976,1.608,2.64552,8.223679999999998,17.086239999999997,19.024,20.0752,9.734999999999998,6.733083113225322
-86.914,40.446,478,0.12176,2.064,3.52244,6.37592,9.17372,14.51832,19.66896,7.0023988284518826,4.443737817176868
-86.914,40.4455,2865,0.0,0.5901760000000001,3.1422399999999997,5.728,10.06912,18.309535999999998,40.67552,7.754589151832461,6.915561877015885
-86.914,40.445,474,0.0,0.0,1.288,5.229519999999999,10.009919999999997,14.107967999999996,26.37696,6.335689789029535,5.646723354148309
-86.9135,40.445,917,0.0,0.2552960000000002,2.01552,6.376,11.384,15.485919999999997,29.311519999999998,7.2722383424209385,5.980791737032337
-86.9135,40.4445,1044,0.0,0.072,0.47223999999999994,2.528,7.056,10.034096,24.061439999999997,4.081414559386973,4.303783347250063
-86.9135,40.444,533,0.0,0.051200000000000044,0.35791999999999996,1.288,6.36912,10.48496,22.67536,3.7874568105065665,4.62017590289982
-86.913,40.444,7677,0.0,0.0,0.0,0.47904,3.09072,7.222144000000006,26.076959999999996,2.257685898137293,3.575534909627298
-86.913,40.4435,1880,0.0064,0.366208,0.984,1.936,3.6144,6.277120000000002,15.747519999999998,2.719990808510638,2.4960666598894523
-86.913,40.443,161,0.014079999999999999,0.136,0.288,2.3353599999999997,5.561599999999999,7.41344,17.03216,3.3488750310559,3.360706191587057
-86.9125,40.443,1822,0.0,0.46822400000000003,1.40088,2.688,4.458639999999999,7.374175999999999,18.121119999999998,3.3402855323819973,2.827787021762577
-86.9125,40.4425,303,0.007039999999999999,0.432,1.41648,3.28,5.00712,6.961888000000001,14.79984,3.4847545874587453,2.5604021309424034
-86.912,40.4425,2001,0.0,0.176,1.088,3.07296,5.6185599999999996,8.097919999999998,18.44448,3.740463768115942,3.1330428923780875
-86.9115,40.4425,412,0.007039999999999999,0.184,0.648,3.2171199999999995,6.0578199999999995,8.526064,19.61328,3.912038058252427,3.5922277515981036
-86.9115,40.442,1447,0.0,0.12111999999999999,0.44,2.1257599999999996,4.21648,7.082976000000002,18.35824,2.8761269384934347,2.960795457640523
-86.911,40.442,1545,0.0,0.152,0.456,1.46688,3.29472,4.976,13.567839999999999,2.1215431456310676,2.134526072936997
-86.911,40.4415,13786,0.0,0.448,1.31536,2.6,3.6484799999999997,4.587999999999999,17.85728,2.6354889888292474,1.7076710918598483
-86.9105,40.4415,2279,0.0,0.12,0.46416,1.2971199999999998,4.3392,8.115456000000002,19.57856,2.876578709960509,3.4430171566931356
-86.91,40.4415,1098,0.0,0.112,0.28,1.128,3.168,4.93448,13.42288,2.019750455373406,2.308977486685791
-86.91,40.441,1736,0.0,0.008,0.208,1.224,4.06428,6.801119999999999,19.112,2.53559732718894,2.988979321959986
-86.9095,40.441,1135,0.0,0.016,0.26080000000000003,1.16,3.8404,9.125792,25.3384,3.0732532158590304,4.329210456382381
-86.9095,40.4405,1335,0.0,0.032,0.288,2.64,5.296,7.44,16.766399999999997,3.116859505617978,2.9413398397203867
-86.909,40.4405,917,0.0,0.048,0.38288,2.032,5.36672,8.912,23.159999999999997,3.324409160305343,3.5252539423596727
-86.909,40.44,987,0.0,0.12176,0.368,2.82048,8.859359999999999,14.398143999999998,30.108799999999995,5.111882147922999,5.817802645105313
-86.9085,40.44,969,0.0,0.23328,0.864,2.9926399999999997,6.992,13.97136000000001,39.57984,5.0498390092879255,5.523404253859946
-86.9085,40.4395,796,0.0,0.076,0.48768,2.25264,6.376,11.224319999999999,25.189919999999997,4.019983015075377,4.456425152976471
-86.908,40.4395,1029,0.032,0.36527999999999994,1.048,2.7207999999999997,6.13648,11.112,20.5336,4.312224062196307,4.380977471824151
-86.908,40.439,688,0.014079999999999999,0.352,0.712,2.5929599999999997,7.15064,11.849984,21.29648,4.436012558139534,4.729050435810305
-86.9075,40.439,1206,0.0,0.12192,0.47648,1.824,6.294079999999999,12.975839999999998,35.413599999999995,4.387186666666666,5.7277648923545685
-86.9075,40.4385,420,0.0,0.072,0.8478399999999999,4.808,13.66844,19.359120000000004,32.490719999999996,7.690891047619048,8.06817829687257
-86.907,40.4385,1514,0.0,0.19073600000000054,1.1792,4.312,12.04824,19.835808,48.6104,7.888782404227212,8.911216435089502
-86.9065,40.4385,260,0.0,0.84,2.848,6.43792,10.51856,17.963535999999998,38.952799999999996,7.902310461538462,6.7615556622582575
-86.9065,40.438,1675,0.0,1.024,2.776,5.9368,12.65312,19.718688,43.8288,8.624442507462685,7.951305796110599
-86.906,40.438,240,0.0,1.514848,2.6349199999999997,4.3796,10.609319999999999,14.56,24.576319999999996,6.886220666666666,5.636717461005079
