grid_lat,grid_lon,thput_sample_num,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100,thput_avg,thput_std
-86.907,40.4685,398,0.19584,17.99024,33.25832,93.96,169.3688,290.50368,405.8336,119.90580864321608,99.13362091143644
-86.9065,40.4685,418,4.170559999999999,17.248,24.832,65.28,149.36496,263.552,419.97439999999995,102.42119732057417,95.36934150008479
-86.906,40.4685,422,0.22304,17.461696,28.128,75.53728,169.69871999999998,328.581152,429.57408,117.89197725118483,112.97158594147692
-86.9055,40.4685,440,9.856,20.344,68.456,116.288,225.64535999999998,339.32720000000006,474.62111999999996,148.35462836363638,112.21513984222393
-86.905,40.4685,444,9.856,19.591232000000012,60.80535999999999,147.68,198.298,316.12,391.58304,149.22166090090087,99.34187058764297
-86.9045,40.4685,440,0.7824,22.418592000000004,59.816,152.512,221.216,340.0776,429.82688,154.8436654545455,110.16371322467525
-86.904,40.4685,456,0.7055999999999999,21.32,60.384,165.144,286.392,338.44543999999996,494.18208,170.03110087719298,117.04775164321647
-86.9035,40.4685,468,2.36896,20.784,80.07016,176.208,305.688,349.792,394.92,193.62287589743588,117.58937747155288
-86.903,40.4685,502,0.22976,26.504,111.728,208.056,284.808,314.008,468.21344,192.21171840637447,104.0057634084992
-86.9025,40.4685,521,0.42976,28.1664,129.92736,213.256,332.792,400.62432,507.16512,221.06934633397313,132.6906149888597
-86.902,40.4685,508,0.10336,19.807744,58.27296,179.6,305.712,351.008,541.5014399999999,185.37060377952756,129.7801953289217
-86.9015,40.4685,515,0.21760000000000002,22.352,59.992,185.136,331.976,357.04,499.33439999999996,195.20625662135924,131.97017962371
-86.901,40.4685,547,0.2352,22.704,81.71744000000001,182.52,321.856,352.504,496.42560000000003,193.75093382084097,124.78111754692829
-86.9005,40.4685,506,0.35007999999999995,15.856,51.525839999999995,146.81919999999997,223.056,325.816,444.06464,150.822974229249,112.0304281151012
-86.9,40.4685,616,0.36360000000000003,14.491520000000001,27.496,140.93952,193.736,295.696,345.04959999999994,134.8526951948052,99.02022287387257
-86.8995,40.4685,1527,0.0,10.944,29.868000000000002,66.56384,132.688,162.392,364.64863999999994,80.92242509495742,61.565368930352776
-86.8995,40.468,897,0.0384,5.056,9.008,14.248,25.832,46.873151999999976,138.48703999999998,21.218334894091413,21.347319435913576
-86.8995,40.4675,823,0.11615999999999999,5.320128,9.28384,17.526079999999997,24.9664,34.131520000000016,103.0672,20.19099470230863,16.45937170574165
-86.8995,40.467,802,0.11615999999999999,8.723296000000003,14.822159999999998,22.46432,29.2,44.342559999999985,107.00032,25.029531670822944,17.11481655416641
