grid_lat,grid_lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nr_scell1_cid,nr_scell1_freq,nr_scell2_cid,nr_scell2_freq,nr_scell3_cid,nr_scell3_freq,thput_sample_num,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100,thput_avg,thput_std
-86.947,40.473,372,1001,None,None,None,None,None,None,None,None,None,None,None,None,None,None,496,0.0,1.2387199999999998,3.80464,7.59232,11.57328,15.47504,22.84032,7.939569032258065,5.1350726327792495
-86.947,40.473,372,1001,210,126270,None,None,None,None,None,None,None,None,None,None,None,None,166,0.12544,0.7656000000000001,2.0857599999999996,3.67488,5.502479999999999,11.252479999999998,19.0704,4.7198163855421695,4.134250133686365
-86.947,40.473,103,1001,210,126270,None,None,None,None,None,None,None,None,None,None,None,None,129,0.49984,3.056192,5.906879999999999,10.137599999999999,16.592,19.444736,26.03648,11.165794108527132,6.333505163647518
-86.947,40.473,103,1001,None,None,None,None,None,None,None,None,None,None,None,None,None,None,99,0.59488,2.7268480000000004,4.34,6.43392,8.574559999999998,9.634176000000002,12.2976,6.349637171717172,2.679225359798981
-86.947,40.473,51,1200,None,None,None,None,None,None,None,None,None,None,None,None,None,None,302,0.0,23.848,30.04,46.976,62.352,73.296,122.60896,46.864195231788074,23.085109037458356
-86.947,40.473,51,1200,210,126270,372,1001,None,None,417,67011,None,None,None,None,None,None,28,4.462079999999999,13.305184,20.099759999999996,27.962239999999998,41.433279999999996,48.998751999999996,58.27904,30.365759999999995,14.30944307942935
-86.9465,40.4725,372,1001,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12,0.0,0.0,0.0,7.40112,11.635760000000001,12.531296,13.11712,6.364506666666666,5.208685212817359
-86.9465,40.4725,372,1001,210,126270,51,66736,None,None,417,67011,None,None,None,None,None,None,11,6.78528,25.2736,31.424639999999997,34.8448,37.67984,43.34656,69.71104,35.353047272727274,14.18557106136763
-86.9465,40.4725,103,1001,210,126270,None,None,None,None,None,None,None,None,None,None,None,None,51,0.12319999999999999,2.7478399999999996,18.768,43.918079999999996,55.15424,68.39583999999999,322.70495999999997,46.90802823529411,48.704185820992095
-86.9465,40.4725,103,1001,None,None,322,67011,22,66736,None,None,None,None,None,None,None,None,42,0.12544,0.8832000000000001,2.3291199999999996,12.088799999999999,20.13928,29.172287999999998,45.63647999999999,13.705020952380952,11.605245981934166
