th_index_low,thput_low,thput_high,trigger_event,total_instance_num,instance_num,instance_ratio
0.0000,0.0000,50.0000,rlc-MaxNumRetx,21.0000,4.0000,0.1905
1.0000,50.0000,100.0000,rlc-MaxNumRetx,11.0000,3.0000,0.2727
2.0000,100.0000,150.0000,rlc-MaxNumRetx,1.0000,0.0000,0.0000
3.0000,150.0000,200.0000,rlc-MaxNumRetx,0.0000,0.0000,0.0000
4.0000,200.0000,1000.0000,rlc-MaxNumRetx,0.0000,0.0000,0.0000
