index,timer,trigger_event,total_instance_num,instance_num,instance_ratio
0.0000,ms20,rlc-MaxNumRetx,47.0000,23.0000,0.4894
1.0000,ms40,rlc-MaxNumRetx,265.0000,27.0000,0.1019
2.0000,ms45,rlc-MaxNumRetx,0.0000,0.0000,0.0000
