lat,lon,timestamp,freq,cid,rsrp,rsrq,type,time_delta
41.88125666,-87.67430635,1628387799.245208,174270,629,-71.484,-10.508,nr-ml1,14.445208072662354
41.88126087,-87.67430706,1628387822.285201,174270,629,-64.500,-10.508,nr-ml1,37.48520112037659
41.88126327,-87.67430736,1628387841.005166,174270,629,-75.508,-11.008,nr-ml1,56.20516610145569
41.88126334,-87.67430716,1628387844.404495,174270,629,-70.508,-10.508,nr-ml1,59.60449504852295
41.8812657,-87.67430626,1628387861.444514,174270,629,-64.500,-10.508,nr-ml1,76.6445140838623
41.88126721,-87.67430702,1628387874.622573,174270,629,-65.219,-10.508,nr-ml1,89.82257294654846
41.88126411,-87.67431495,1628387879.022628,174270,629,-67.938,-10.508,nr-ml1,94.22262811660767
41.88126701,-87.67431781,1628387885.825141,174270,629,-64.500,-10.508,nr-ml1,101.02514100074768
41.88127071,-87.67431325,1628387888.002611,174270,629,-65.656,-10.508,nr-ml1,103.20261096954346
41.88127356,-87.67431831,1628387891.090191,174270,629,-63.508,-10.508,nr-ml1,106.29019093513489
41.88127668,-87.67431993,1628387893.282598,174270,629,-63.945,-10.508,nr-ml1,108.48259806632996
41.88128034,-87.67431701,1628387899.022611,174270,629,-68.227,-10.922,nr-ml1,114.22261095046997
41.88128422,-87.67431877,1628387902.542572,174270,629,-67.938,-10.508,nr-ml1,117.74257206916809
41.8812832,-87.67431814,1628387910.220924,174270,629,-80.000,-11.008,nr-ml1,125.42092394828796
41.88128823,-87.67431856,1628387913.242504,174270,629,-72.219,-11.008,nr-ml1,128.44250392913818
41.8812997,-87.67433664,1628387916.365105,174270,629,-73.508,-11.008,nr-ml1,131.56510496139526
41.88129919,-87.67432569,1628387931.005086,174270,629,-68.008,-10.508,nr-ml1,146.2050859928131
41.88129934,-87.67432447,1628387940.765082,174270,629,-71.008,-10.508,nr-ml1,155.96508193016052
41.88129917,-87.67432404,1628387945.942542,174270,629,-70.000,-10.508,nr-ml1,161.14254212379456
41.88130006,-87.67432285,1628387948.205073,174270,629,-71.500,-11.008,nr-ml1,163.40507316589355
41.88130015,-87.67432204,1628387950.910848,174270,629,-73.508,-11.008,nr-ml1,166.1108479499817
41.88129996,-87.6743217,1628387952.722186,174270,629,-71.500,-10.508,nr-ml1,167.92218613624573
41.88129984,-87.67432149,1628387954.702524,174270,629,-70.586,-10.680,nr-ml1,169.9025239944458
41.88129978,-87.67432144,1628387957.422532,174270,629,-71.984,-10.516,nr-ml1,172.62253212928772
41.88129965,-87.67432132,1628387959.796916,174270,629,-73.008,-10.508,nr-ml1,174.99691605567932
41.88129952,-87.67432124,1628387961.782516,174270,629,-71.219,-10.508,nr-ml1,176.98251605033875
41.8812994,-87.67432115,1628387963.56666,174270,629,-71.0,-10.5,nr-neighbor,178.76665997505188
41.88129924,-87.67432106,1628387965.566927,174270,629,-72.500,-10.508,nr-ml1,180.76692700386047
41.88129928,-87.6743209,1628387967.502522,174270,629,-76.164,-11.078,nr-ml1,182.70252203941345
41.88129986,-87.67432052,1628387969.722513,174270,629,-78.172,-11.055,nr-ml1,184.92251300811768
41.88129974,-87.67432044,1628387971.466646,174270,629,-73.0,-11.0,nr-neighbor,186.66664600372314
41.88129959,-87.67432036,1628387973.342524,174270,629,-71.320,-10.508,nr-ml1,188.54252409934998
41.88129948,-87.67432033,1628387975.086649,174270,629,-78.0,-11.0,nr-neighbor,190.28664898872375
41.8812994,-87.6743203,1628387976.922506,174270,629,-74.742,-11.117,nr-ml1,192.1225061416626
41.88129935,-87.6743202,1628387979.642507,174270,629,-75.227,-10.938,nr-ml1,194.84250712394714
41.88130396,-87.67428528,1628387981.342508,174270,629,-73.992,-10.859,nr-ml1,196.54250812530518
41.88130629,-87.67417081,1628387983.322159,174270,629,-70.797,-10.578,nr-ml1,198.52215909957886
