grid_lat,grid_lon,grid_height,total_sample,thput_mean,thput_std,thput_0,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_100,rbs_mean,rbs_std,rbs_0,rbs_25,rbs_50,rbs_75,rbs_100,rtt_mean,rtt_std,rtt_0,rtt_10,rtt_25,rtt_50,rtt_75,rtt_90,rtt_100,rsrp_mean,rsrp_std,rsrp_0,rsrp_10,rsrp_25,rsrp_50,rsrp_75,rsrp_90,rsrp_100,rsrq_mean,rsrq_std,rsrq_0,rsrq_10,rsrq_25,rsrq_50,rsrq_75,rsrq_90,rsrq_100
-86.9455,40.4680,0.0000,7.0000,17.3132,4.2908,10.4430,11.2260,12.0090,14.4135,17.9770,19.9407,22.0804,23.0722,24.0640,5.3186,0.4153,4.9600,5.0700,5.0800,5.4550,6.1400,1343.2857,220.9025,948.0000,1081.8000,1232.0000,1351.0000,1504.0000,1612.2000,1632.0000,-110.2129,0.7724,-110.8400,-110.8100,-110.7450,-110.4500,-110.1000,-109.2600,-108.5100,-13.2357,0.3325,-13.7500,-13.6540,-13.4350,-13.2400,-13.0400,-12.8360,-12.7100
-86.9455,40.4690,0.0000,3.0000,10.1822,2.0884,7.2320,7.6625,8.0930,9.3844,11.5369,11.6573,11.7296,11.7537,11.7778,13.3367,1.0744,12.3100,12.5950,12.8800,13.8500,14.8200,1978.6667,375.2380,1448.0000,1607.2000,1846.0000,2244.0000,2244.0000,2244.0000,2244.0000,-107.7533,1.0272,-108.7800,-108.6500,-108.4550,-108.1300,-107.2400,-106.7060,-106.3500,-11.6100,0.0572,-11.6800,-11.6660,-11.6450,-11.6100,-11.5750,-11.5540,-11.5400
-86.9455,40.4695,0.0000,47.0000,23.6570,6.6460,8.5316,13.5564,16.0082,20.6742,23.1093,26.5538,29.8206,36.4157,42.5564,8.6691,3.3452,3.8800,5.6300,8.6800,10.4750,16.8800,538.0085,579.8983,14.9000,16.3000,31.2000,87.9000,1090.0000,1379.8000,1653.0000,-101.9662,3.1077,-109.6400,-106.8040,-104.1500,-101.0000,-99.5600,-98.6540,-97.2000,-12.2357,0.6888,-14.0600,-13.0940,-12.6450,-12.2500,-11.6900,-11.3540,-10.8200
-86.9455,40.4700,0.0000,29.0000,15.9552,12.4235,1.0110,1.1384,3.5323,6.9653,10.9884,20.7209,36.8320,41.7356,43.0871,8.8686,11.7442,3.0000,3.0000,4.6900,5.4350,37.5200,128.1481,98.5233,18.4000,31.5400,52.3500,75.5000,219.0000,287.8000,314.0000,-101.6511,5.3359,-110.3300,-109.1260,-107.5100,-100.2700,-97.6450,-95.4420,-93.0100,-10.9522,0.3188,-11.5300,-11.4220,-11.1800,-10.9700,-10.6800,-10.5100,-10.5100
-86.9450,40.4670,0.0000,3.0000,19.4114,1.8019,17.1269,17.3718,17.6167,18.3514,19.5760,20.5537,21.1403,21.3359,21.5314,13.7300,0.7502,12.6700,13.4450,14.2200,14.2600,14.3000,1399.3333,202.8617,1160.0000,1204.4000,1271.0000,1382.0000,1519.0000,1601.2000,1656.0000,-112.2400,0.5375,-112.6300,-112.6260,-112.6200,-112.6100,-112.0450,-111.7060,-111.4800,-13.4833,0.6498,-14.3000,-14.1280,-13.8700,-13.4400,-13.0750,-12.8560,-12.7100
-86.9450,40.4680,0.0000,7.0000,17.7704,1.6810,15.3220,15.4973,15.6726,16.3377,17.9100,19.2583,19.6132,19.7911,19.9690,5.6943,0.9518,4.3300,5.1500,5.6600,6.0250,7.5200,1386.5714,186.0982,1088.0000,1160.0000,1251.5000,1384.0000,1558.0000,1600.0000,1615.0000,-109.2814,0.5824,-110.4600,-110.0100,-109.5250,-109.0600,-108.8500,-108.7060,-108.7000,-13.1500,0.3373,-13.6000,-13.5760,-13.4600,-13.1100,-12.8400,-12.7400,-12.7400
-86.9450,40.4690,0.0000,6.0000,10.9495,2.0497,8.1191,8.3580,8.5969,9.3078,11.0636,12.2933,13.1880,13.6064,14.0249,12.6600,1.5629,10.5100,11.2000,13.0650,13.9250,14.5300,1956.0000,415.5627,1056.0000,1522.0000,2017.2500,2109.5000,2129.7500,2236.5000,2338.0000,-108.7217,1.6864,-110.3800,-110.2700,-110.0500,-109.1750,-108.1500,-106.7200,-105.4500,-12.3067,0.4136,-12.8700,-12.7300,-12.5500,-12.3750,-12.1325,-11.8150,-11.5600
-86.9445,40.4670,0.0000,3.0000,15.1640,3.5575,12.0891,12.2055,12.3219,12.6711,13.2530,16.7015,18.7706,19.4603,20.1500,10.4967,1.5128,9.2900,9.4300,9.5700,11.1000,12.6300,1505.6667,38.6552,1451.0000,1467.4000,1492.0000,1533.0000,1533.0000,1533.0000,1533.0000,-111.5300,0.6158,-112.4000,-112.1460,-111.7650,-111.1300,-111.0950,-111.0740,-111.0600,-13.7733,0.4862,-14.4600,-14.2600,-13.9600,-13.4600,-13.4300,-13.4120,-13.4000
-86.9445,40.4690,0.0000,4.0000,10.4378,1.9134,7.5076,7.8958,8.2841,9.4489,10.8138,11.8027,12.2907,12.4533,12.6160,10.4075,1.1080,8.8000,9.7150,10.5600,11.2525,11.7100,2157.7500,395.8537,1630.0000,1717.3000,1848.2500,2230.5000,2540.0000,2540.0000,2540.0000,-109.5700,2.0732,-111.6700,-111.4960,-111.2350,-110.1250,-108.4600,-107.2000,-106.3600,-12.1525,0.4464,-12.5900,-12.5750,-12.5525,-12.2600,-11.8600,-11.6440,-11.5000
-86.9440,40.4670,0.0000,2.0000,26.7093,3.7673,22.9420,23.3187,23.6955,24.8256,26.7093,28.5929,29.7231,30.0998,30.4766,5.4550,0.3050,5.1500,5.3025,5.4550,5.6075,5.7600,872.5000,154.5000,718.0000,748.9000,795.2500,872.5000,949.7500,996.1000,1027.0000,-107.5300,1.4500,-108.9800,-108.6900,-108.2550,-107.5300,-106.8050,-106.3700,-106.0800,-12.3100,0.6000,-12.9100,-12.7900,-12.6100,-12.3100,-12.0100,-11.8300,-11.7100
