time,lat,lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nr_scell1_cid,nr_scell1_freq,nr_scell2_cid,nr_scell2_freq,nr_scell3_cid,nr_scell3_freq,cell_set_type,cell_set_type_v2,throughput,rtt,disruption,thput_confidence_level,current_traffic_mode,total_bw,time_delta,cell_id
1628217449,-86.15975719,39.77150863,391,850,None,None,472,52740,393,52941,399,53139,None,None,None,None,None,None,LTE,LTE+LTE,135.44656,None,None,1,fd,80,0,1
1628217449,-86.15975267,39.77151434,391,850,None,None,472,52740,393,52941,399,53139,None,None,None,None,None,None,LTE,LTE+LTE,138.85856,None,None,1,fd,80,0.099999905,1
1628217449,-86.15974988,39.77152002,391,850,None,None,472,52740,393,52941,399,53139,None,None,None,None,None,None,LTE,LTE+LTE,139.76224,None,None,1,fd,80,0.200000048,1
1628217449,-86.15974738,39.77152792,391,850,None,None,472,52740,393,52941,399,53139,None,None,None,None,None,None,LTE,LTE+LTE,137.90448,None,None,1,fd,80,0.299999952,1
1628217449,-86.1597451,39.77153511,391,850,None,None,472,52740,393,52941,399,53139,None,None,None,None,None,None,LTE,LTE+LTE,60.1392,None,None,1,fd,80,0.400000095,1
1628217450,-86.15974305,39.77154159,391,850,None,None,472,52740,393,52941,399,53139,None,None,None,None,None,None,LTE,LTE+LTE,161.6496,None,None,1,fd,80,0.5,1
1628217450,-86.15974054,39.77154949,391,850,None,None,472,52740,393,52941,399,53139,None,None,None,None,None,None,LTE,LTE+LTE,141.18448,None,None,1,fd,80,0.599999905,1
1628217450,-86.15973849,39.77155596,391,850,None,None,472,52740,393,52941,399,53139,None,None,None,None,None,None,LTE,LTE+LTE,156.32,None,None,1,fd,80,0.700000048,1
1628217450,-86.15973621,39.77156315,391,850,None,None,472,52740,393,52941,399,53139,None,None,None,None,None,None,LTE,LTE+LTE,127.184,None,None,1,fd,80,0.799999952,1
1628217450,-86.15973371,39.77157106,391,850,None,None,472,52740,393,52941,399,53139,None,None,None,None,None,None,LTE,LTE+LTE,157.74768,None,None,1,fd,80,0.900000095,1
1628217450,-86.15973166,39.77157753,391,850,None,None,472,52740,393,52941,399,53139,None,None,None,None,None,None,LTE,LTE+LTE,132.26592,None,None,1,fd,80,1,1
1628217450,-86.15972915,39.77158544,391,850,None,None,472,52740,393,52941,399,53139,None,None,None,None,None,None,LTE,LTE+LTE,153.37616,None,None,1,fd,80,1.099999905,1
1628217450,-86.15972801,39.77159211,391,850,None,None,472,52740,393,52941,399,53139,None,None,None,None,None,None,LTE,LTE+LTE,127.29424,None,None,1,fd,80,1.200000048,1
1628217450,-86.15972739,39.77160253,391,850,None,None,472,52740,393,52941,399,53139,None,None,None,None,None,None,LTE,LTE+LTE,163.65024,None,None,1,fd,80,1.299999952,1
1628217450,-86.15972683,39.77161201,391,850,None,None,472,52740,393,52941,399,53139,None,None,None,None,None,None,LTE,LTE+LTE,133.88688,None,None,1,fd,80,1.400000095,1
1628217451,-86.15972632,39.77162053,391,850,None,None,472,52740,393,52941,399,53139,None,None,None,None,None,None,LTE,LTE+LTE,145.15312,None,None,1,fd,80,1.5,1
1628217451,-86.15972569,39.77163096,391,850,None,None,472,52740,393,52941,399,53139,None,None,None,None,None,None,LTE,LTE+LTE,0,None,None,1,fd,80,1.599999905,1
