operator,trigger_threshold,trigger_ratio_threshold,tp_ratio,fp_ratio
A,0,0,0,0
A,5,0.1,0.555555556,0.04398827
A,10,0.2,0.62962963,0.061583578
A,20,0.5,0.851851852,0.108504399
A,30,0.8,0.925925926,0.164222874
A,40,1,0.925925926,0.19941349
A,60,1.5,0.962962963,0.249266862
A,80,2,0.962962963,0.263929619
