thput,cdf
-0.7119,0.03225806451612903
-0.4663,0.06451612903225806
-0.2532,0.0967741935483871
-0.2127,0.12903225806451613
-0.1677,0.16129032258064516
-0.1247,0.1935483870967742
-0.058,0.22580645161290322
-0.056,0.25806451612903225
-0.04,0.29032258064516125
0.0208,0.32258064516129026
0.0617,0.35483870967741926
0.0823,0.38709677419354827
0.2438,0.41935483870967727
0.3199,0.4516129032258063
0.4243,0.4838709677419353
0.4613,0.5161290322580643
0.6944,0.5483870967741933
0.7865,0.5806451612903223
1.6445,0.6129032258064513
1.9343,0.6451612903225803
2.4111,0.6774193548387093
2.6313,0.7096774193548383
3.0722,0.7419354838709673
4.3488,0.7741935483870963
4.63,0.8064516129032253
8.5435,0.8387096774193543
9.6313,0.8709677419354833
49.9276,0.9032258064516123
54.879,0.9354838709677413
239.4233,0.9677419354838703
1162.652,0.9999999999999993
