index,dataset,operator,solution,value_10,value_25,value_50,value_75,value_90
0.0,indy,A,fsm,-50.4,0.0,2.0,7.8,8.7
1.0,indy,T,fsm,-5508.3,-5423.2,-2738.0,-74.8,-29.3
2.0,indy,V,fsm,-1469549242.1,-1224305342.8,-815565510.5,-406825678.2,-161581778.9
4.0,wl,A,fsm,-1695582376.4,-1695578744.0,-79021.0,1122311.0,1305344.0
5.0,wl,T,fsm,0.0,0.0,0.0,0.0,0.0
7.0,dronemeas,T,fsm,0.0,0.0,0.0,0.0,0.0
