thput,cdf
5.6513,0.043478260869565216
10.4542,0.08695652173913043
10.5582,0.13043478260869565
19.09,0.17391304347826086
21.3838,0.21739130434782608
27.7723,0.2608695652173913
37.0247,0.30434782608695654
44.4943,0.34782608695652173
50.1091,0.3913043478260869
66.0526,0.4347826086956521
90.4892,0.4782608695652173
104.9111,0.5217391304347825
106.7135,0.5652173913043477
110.1551,0.6086956521739129
113.1947,0.652173913043478
118.3442,0.6956521739130432
126.9491,0.7391304347826084
136.0661,0.7826086956521736
145.8406,0.8260869565217388
166.7635,0.869565217391304
174.8123,0.9130434782608692
235.3117,0.9565217391304344
273.7726,0.9999999999999996
