thput,cdf
-7.4918,0.007633587786259542
-3.1289,0.015267175572519083
-2.6944,0.022900763358778626
0.0,0.030534351145038167
0.0,0.03816793893129771
0.0,0.04580152671755725
0.0,0.05343511450381679
0.0,0.061068702290076333
0.0,0.06870229007633588
0.0,0.07633587786259542
0.0,0.08396946564885496
0.0,0.0916030534351145
0.0,0.09923664122137404
0.0,0.10687022900763359
0.0,0.11450381679389313
0.0,0.12213740458015267
0.0,0.1297709923664122
0.0,0.13740458015267176
0.0,0.14503816793893132
0.0,0.15267175572519087
0.0,0.16030534351145043
0.0,0.16793893129770998
0.0,0.17557251908396954
0.0,0.1832061068702291
0.0,0.19083969465648865
0.0,0.1984732824427482
0.0,0.20610687022900775
0.0,0.2137404580152673
0.0,0.22137404580152686
0.0,0.22900763358778642
0.0,0.23664122137404597
0.0,0.24427480916030553
2.0541,0.2519083969465651
7.1566,0.25954198473282464
7.6371,0.2671755725190842
8.816,0.27480916030534375
13.0815,0.2824427480916033
16.3624,0.29007633587786286
29.9079,0.2977099236641224
30.3541,0.30534351145038197
32.2883,0.3129770992366415
34.6855,0.3206106870229011
34.9927,0.32824427480916063
35.2791,0.3358778625954202
35.89,0.34351145038167974
35.9282,0.3511450381679393
36.4104,0.35877862595419885
36.7008,0.3664122137404584
36.8555,0.37404580152671796
36.9645,0.3816793893129775
37.0874,0.38931297709923707
37.2916,0.3969465648854966
37.3082,0.4045801526717562
37.6431,0.41221374045801573
37.7366,0.4198473282442753
37.7731,0.42748091603053484
37.7772,0.4351145038167944
38.4898,0.44274809160305395
38.705,0.4503816793893135
39.1903,0.45801526717557306
39.2129,0.4656488549618326
39.3121,0.47328244274809217
39.8628,0.4809160305343517
40.1075,0.4885496183206113
40.2288,0.49618320610687083
40.6537,0.5038167938931304
40.6545,0.5114503816793899
41.7164,0.5190839694656495
41.7211,0.526717557251909
41.8584,0.5343511450381686
42.2496,0.5419847328244282
42.2869,0.5496183206106877
42.2974,0.5572519083969473
42.4123,0.5648854961832068
42.4568,0.5725190839694664
42.5081,0.5801526717557259
42.5691,0.5877862595419855
42.6593,0.595419847328245
42.6977,0.6030534351145046
42.8528,0.6106870229007642
42.965,0.6183206106870237
43.0935,0.6259541984732833
43.2145,0.6335877862595428
43.427,0.6412213740458024
43.5131,0.6488549618320619
43.8068,0.6564885496183215
43.8612,0.664122137404581
43.9243,0.6717557251908406
43.9978,0.6793893129771001
44.0376,0.6870229007633597
44.0603,0.6946564885496193
44.1164,0.7022900763358788
44.1392,0.7099236641221384
44.2262,0.7175572519083979
44.2888,0.7251908396946575
44.3105,0.732824427480917
44.362,0.7404580152671766
44.4954,0.7480916030534361
44.5679,0.7557251908396957
44.7186,0.7633587786259552
44.8393,0.7709923664122148
44.8857,0.7786259541984744
44.9739,0.7862595419847339
45.0292,0.7938931297709935
45.0807,0.801526717557253
45.1302,0.8091603053435126
45.1749,0.8167938931297721
45.1755,0.8244274809160317
45.2153,0.8320610687022912
45.2513,0.8396946564885508
45.4108,0.8473282442748103
45.4291,0.8549618320610699
45.5433,0.8625954198473295
45.547,0.870229007633589
45.5925,0.8778625954198486
45.7041,0.8854961832061081
45.7085,0.8931297709923677
45.7135,0.9007633587786272
45.7158,0.9083969465648868
45.7374,0.9160305343511463
45.7374,0.9236641221374059
45.7533,0.9312977099236655
45.7536,0.938931297709925
45.7606,0.9465648854961846
45.7944,0.9541984732824441
45.8378,0.9618320610687037
45.9576,0.9694656488549632
45.9977,0.9770992366412228
46.0029,0.9847328244274823
46.0108,0.9923664122137419
46.052,1.0000000000000013
