thput,cdf
-14.2159,0.047619047619047616
-12.3987,0.09523809523809523
3.8459,0.14285714285714285
6.0939,0.19047619047619047
7.2511,0.23809523809523808
13.5524,0.2857142857142857
21.1633,0.3333333333333333
21.4399,0.38095238095238093
33.0099,0.42857142857142855
39.1583,0.47619047619047616
44.9858,0.5238095238095237
57.8163,0.5714285714285714
64.3306,0.6190476190476191
99.2024,0.6666666666666667
109.7308,0.7142857142857144
114.7726,0.7619047619047621
122.3873,0.8095238095238098
129.6608,0.8571428571428574
129.8987,0.9047619047619051
168.0428,0.9523809523809528
402.6827,1.0000000000000004
