thput,cdf
-0.5076,0.1
8.4263,0.2
8.4263,0.30000000000000004
14.8729,0.4
35.3647,0.5
42.8842,0.6
71.8405,0.7
133.4864,0.7999999999999999
213.9602,0.8999999999999999
373.3495,0.9999999999999999
