thput,cdf
-0.7574,0.047619047619047616
-0.1451,0.09523809523809523
0.0,0.14285714285714285
0.0754,0.19047619047619047
0.1503,0.23809523809523808
0.9407,0.2857142857142857
1.2753,0.3333333333333333
1.8169,0.38095238095238093
2.8068,0.42857142857142855
4.0936,0.47619047619047616
4.3932,0.5238095238095237
5.0032,0.5714285714285714
5.2713,0.6190476190476191
6.2682,0.6666666666666667
6.3024,0.7142857142857144
6.5358,0.7619047619047621
10.9421,0.8095238095238098
13.3037,0.8571428571428574
30.7607,0.9047619047619051
183.6829,0.9523809523809528
1749.8434,1.0000000000000004
