thput,cdf
0.0172,0.043478260869565216
0.0246,0.08695652173913043
0.1726,0.13043478260869565
0.259,0.17391304347826086
0.2731,0.21739130434782608
0.2885,0.2608695652173913
0.2956,0.30434782608695654
0.46,0.34782608695652173
0.5634,0.3913043478260869
0.6945,0.4347826086956521
0.7759,0.4782608695652173
0.9366,0.5217391304347825
1.0096,0.5652173913043477
1.7098,0.6086956521739129
1.8711,0.652173913043478
1.8748,0.6956521739130432
2.456,0.7391304347826084
4.0663,0.7826086956521736
5.4924,0.8260869565217388
7.4665,0.869565217391304
7.4736,0.9130434782608692
12.2483,0.9565217391304344
17.0216,0.9999999999999996
