thput,cdf
0.0964,0.043478260869565216
0.4194,0.08695652173913043
0.7916,0.13043478260869565
1.2455,0.17391304347826086
1.9738,0.21739130434782608
2.8928,0.2608695652173913
3.1321,0.30434782608695654
3.2191,0.34782608695652173
3.6339,0.3913043478260869
5.7353,0.4347826086956521
6.141,0.4782608695652173
6.2614,0.5217391304347825
7.005,0.5652173913043477
7.161,0.6086956521739129
7.2668,0.652173913043478
7.3598,0.6956521739130432
7.9765,0.7391304347826084
8.6705,0.7826086956521736
9.0524,0.8260869565217388
10.7482,0.869565217391304
15.4025,0.9130434782608692
19.8227,0.9565217391304344
25.4138,0.9999999999999996
