index,region,failure_len,raf_ratio,optimal_threshold,rsrp_10,rsrp_25,rsrp_50,rsrp_75,rsrp_90,rsrp_failure_10,rsrp_failure_25,rsrp_failure_50,rsrp_failure_75,rsrp_failure_90
2,A-R3,756,0.9497,-82.7463,-104.4939,-96.3167,-83.4615,-75.1067,-68.6647,-94.246,-89.219,-82.031,-74.9183,-69.2385
3,A-R4,2023,0.9961,-82.6692,-99.3255,-93.9918,-85.9004,-77.4162,-72.8787,-89.836,-84,-79.438,-75.336,-72.0294
